Datetime,Location,Item,TransactionQty
01/30/20 04:17:37 PM,L1,I9,-40
01/30/21 01:17:06 PM,L1,I1,-160
01/30/21 01:17:13 PM,L1,I10,-120
01/30/21 01:17:19 PM,L1,I9,-80
01/30/21 01:17:40 PM,L1,I7,-80
01/30/22 05:18:37 PM,L1,I6,-80
01/30/22 05:18:46 PM,L1,I1,-80
01/30/22 09:09:29 AM,L1,I3,-200
01/30/22 09:09:41 AM,L1,I4,-100
01/30/22 09:09:53 AM,L1,I2,-39
01/31/18 01:58:10 PM,L1,I3,-100
01/31/18 01:58:20 PM,L1,I2,-42
01/31/18 02:01:24 PM,L1,I1,-40
01/31/18 02:10:34 PM,L1,I4,-100
01/31/18 07:19:42 PM,L1,I6,-120
01/31/18 07:20:04 PM,L1,I1,-120
01/31/19 06:10:27 PM,L1,I1,-40
01/31/19 06:10:34 PM,L1,I10,-80
01/31/19 06:10:40 PM,L1,I9,-80
01/31/19 06:10:53 PM,L1,I5,-40
01/31/19 06:11:07 PM,L1,I8,-80
01/31/19 06:14:27 PM,L1,I3,-200
01/31/19 06:32:47 PM,L1,I3,-100
02/01/18 07:11:09 PM,L1,I1,-80
02/01/18 07:11:19 PM,L1,I5,-80
02/01/18 07:11:28 PM,L1,I6,-80
02/01/19 04:12:23 PM,L1,I1,-40
02/01/22 04:12:45 PM,L1,I7,-30
02/01/22 04:13:08 PM,L1,I1,-40
02/01/22 04:24:00 PM,L1,I2,-40
02/01/22 04:26:11 PM,L1,I1,-120
02/01/22 04:26:17 PM,L1,I9,-80
02/01/22 04:26:23 PM,L1,I10,-80
02/01/22 04:26:29 PM,L1,I8,-40
02/01/22 05:51:59 PM,L1,I4,-100
02/02/21 05:14:58 PM,L1,I1,-178
02/02/21 05:15:04 PM,L1,I10,-120
02/02/21 05:15:11 PM,L1,I9,-40
02/02/21 05:15:17 PM,L1,I8,-40
02/02/21 05:15:24 PM,L1,I6,-40
02/02/21 06:15:31 PM,L1,I4,-100
02/02/21 06:15:38 PM,L1,I3,-100
02/02/21 07:32:21 PM,L1,I4,-100
02/02/21 07:32:45 PM,L1,I3,-100
02/02/21 07:33:16 PM,L1,I9,-40
02/02/21 07:33:22 PM,L1,I5,-40
02/02/21 07:33:35 PM,L1,I6,-80
02/02/21 07:33:55 PM,L1,I1,-80
02/02/22 06:42:23 PM,L1,I4,-100
02/03/20 01:25:21 PM,L1,I1,-160
02/03/20 01:25:28 PM,L1,I6,-80
02/03/20 01:25:37 PM,L1,I9,-80
02/03/20 01:26:13 PM,L1,I10,-80
02/03/20 01:26:52 PM,L1,I5,-40
02/03/20 07:08:49 PM,L1,I2,-40
02/03/20 07:08:56 PM,L1,I3,-100
02/03/21 07:27:26 PM,L1,I9,-5
02/03/21 07:27:32 PM,L1,I1,-120
02/03/21 07:27:38 PM,L1,I10,-80
02/03/21 07:34:05 PM,L1,I4,-139
02/03/21 07:35:16 PM,L1,I3,-100
02/03/21 07:35:23 PM,L1,I2,-40
02/03/21 07:35:37 PM,L1,I4,-150
02/03/21 07:40:57 PM,L1,I2,-40
02/04/20 03:53:39 PM,L1,I9,-80
02/04/20 03:54:01 PM,L1,I1,-80
02/04/20 03:54:59 PM,L1,I3,-100
02/04/20 03:58:49 PM,L1,I1,-120
02/04/20 03:59:02 PM,L1,I9,-75
02/04/20 03:59:11 PM,L1,I10,-80
02/04/21 04:51:49 PM,L1,I2,-38
02/04/21 05:10:44 PM,L1,I1,-160
02/04/21 06:23:29 PM,L1,I8,-40
02/04/21 06:23:43 PM,L1,I1,-80
02/04/21 06:27:50 PM,L1,I8,-40
02/04/22 04:23:56 PM,L1,I1,-80
02/04/22 04:24:09 PM,L1,I9,-40
02/04/22 04:27:44 PM,L1,I3,-100
02/04/22 04:29:37 PM,L1,I1,-120
02/04/22 04:30:14 PM,L1,I10,-80
02/05/19 04:10:22 PM,L1,I1,-120
02/05/19 04:10:29 PM,L1,I9,-40
02/05/19 04:10:37 PM,L1,I6,-40
02/05/19 06:22:18 PM,L1,I1,-40
02/05/19 07:56:46 PM,L1,I1,-80
02/05/19 07:56:54 PM,L1,I10,-80
02/05/19 07:57:01 PM,L1,I7,-30
